"_id","Date","Description","Deposits","Withdrawls","Balance"
"625fe3ef0ceffb2caf006e10","21-Aug-2020","Cash",0,"31,479.91","188,879.43"
"625fe3ef0ceffb2caf006e11","21-Aug-2020","Cash",0,"47,219.86","141,659.57"
"625fe3ef0ceffb2caf006e2a","21-Aug-2020","Cash",0,"789,747.30",0
"625fe3ef0ceffb2caf006e3e","21-Aug-2020","Cash",263.7,0,"86,830.47"
"625fe3ef0ceffb2caf006e47","21-Aug-2020","Cash",0,"60,069.74","180,209.21"
"625fe3ef0ceffb2caf006e59","21-Aug-2020","Cash","8,487.81",0,"8,487.81"
"625fe3ef0ceffb2caf006e61","21-Aug-2020","Cash",0,"2,371.04","21,339.38"
"625fe3ef0ceffb2caf006e98","23-Aug-2020","Cash",0,"77,653.84","232,961.50"
"625fe3ef0ceffb2caf006ec3","24-Aug-2020","Cash",0,11.4,45.6
"625fe3ef0ceffb2caf006ec9","24-Aug-2020","Cash",147.9,0,"182,005.00"
"625fe3ef0ceffb2caf006ecd","24-Aug-2020","Cash",0,"105,711.23","317,133.70"
"625fe3ef0ceffb2caf006ee5","26-Aug-2020","Cash",0,"31,012.88","62,025.75"
"625fe3ef0ceffb2caf006ef8","26-Aug-2020","Cash","69,776.19",0,"700,809.63"
"625fe3ef0ceffb2caf006f05","26-Aug-2020","Cash",2,0,"12,732.67"
"625fe3ef0ceffb2caf006f2c","26-Aug-2020","Cash",0,"4,313.45","34,507.62"
"625fe3ef0ceffb2caf006f44","27-Aug-2020","Cash",0,"29,300.02","58,600.03"
"625fe3ef0ceffb2caf006f4a","27-Aug-2020","Cash",40.87,0,"16,060.07"
"625fe3ef0ceffb2caf006f57","27-Aug-2020","Cash",0,956.62,"2,869.87"
"625fe3ef0ceffb2caf006f64","27-Aug-2020","Cash",0,"47,801.54",0
"625fe3ef0ceffb2caf006f88","27-Aug-2020","Cash",0,"23,788.92","95,155.67"
"625fe3ef0ceffb2caf006f8e","27-Aug-2020","Cash",0,12.03,36.1
"625fe3ef0ceffb2caf006f93","27-Aug-2020","Cash",41.5,0,"18,116.55"
"625fe3ef0ceffb2caf006f95","27-Aug-2020","Cash",1,0,"14,494.24"
"625fe3ef0ceffb2caf006f98","27-Aug-2020","Cash",0,"1,207.85","6,039.27"
"625fe3ef0ceffb2caf006f9c","27-Aug-2020","Cash",888,0,"268,273.96"
"625fe3ef0ceffb2caf006fa0","27-Aug-2020","Cash","111,626.00",0,"492,230.56"
"625fe3ef0ceffb2caf006fac","27-Aug-2020","Cash",0,"609,409.05","1,828,227.15"
"625fe3ef0ceffb2caf006fb8","27-Aug-2020","Cash",0,"506,850.34","2,027,401.37"
"625fe3ef0ceffb2caf006fc3","27-Aug-2020","Cash",0,"201,505.80","403,011.60"
"625fe3ef0ceffb2caf006fc4","28-Aug-2020","Cash",0,"40,301.16","362,710.44"
"625fe3ef0ceffb2caf006fc9","28-Aug-2020","Cash",0,"237,366.99","949,467.96"
"625fe3ef0ceffb2caf006fd8","28-Aug-2020","Cash","130,530.00",0,"130,530.00"
"625fe3ef0ceffb2caf006fdf","28-Aug-2020","Cash",0,"186,744.51","933,722.52"
"625fe3ef0ceffb2caf006fe4","28-Aug-2020","Cash","977,676.80",0,"977,676.80"
"625fe3ef0ceffb2caf00701f","31-Aug-2020","Cash",0,"18,694.79","112,168.74"
"625fe3ef0ceffb2caf00704e","02-Sep-2020","Cash",7.2,0,"16,560.70"
"625fe3ef0ceffb2caf00705a","02-Sep-2020","Cash","3,059.22",0,"207,227.06"
"625fe3ef0ceffb2caf00705e","02-Sep-2020","Cash",482.53,0,"123,971.21"
"625fe3ef0ceffb2caf00705f","02-Sep-2020","Cash",0,"41,323.74","82,647.47"
"625fe3ef0ceffb2caf007063","02-Sep-2020","Cash",258.52,0,"82,905.99"
"625fe3ef0ceffb2caf00707b","03-Sep-2020","Cash","77,961.00",0,"872,953.37"
"625fe3ef0ceffb2caf0070ab","05-Sep-2020","Cash",7.52,0,7.52
"625fe3ef0ceffb2caf0070d5","08-Sep-2020","Cash","604,302.00",0,"926,392.45"
"625fe3ef0ceffb2caf0070ea","08-Sep-2020","Cash",0.97,0,0.97
"625fe3ef0ceffb2caf0070f1","10-Sep-2020","Cash","33,517.40",0,"346,181.95"
"625fe3ef0ceffb2caf0070f4","11-Sep-2020","Cash",5,0,5
"625fe3ef0ceffb2caf0070fb","12-Sep-2020","Cash",0,"1,376,590.03","1,376,590.03"
"625fe3ef0ceffb2caf007111","14-Sep-2020","Cash",0,"242,604.29","970,417.17"
"625fe3ef0ceffb2caf00712c","16-Sep-2020","Cash",0,178.2,178.2
"625fe3ef0ceffb2caf00714f","17-Sep-2020","Cash","3,084.30",0,"404,623.60"
"625fe3ef0ceffb2caf007150","17-Sep-2020","Cash",0,"44,615.48","401,539.30"
"625fe3ef0ceffb2caf007175","20-Sep-2020","Cash",494.5,0,"34,384.90"
"625fe3ef0ceffb2caf007176","20-Sep-2020","Cash",5,0,"34,389.90"
"625fe3ef0ceffb2caf007177","20-Sep-2020","Cash",8.64,0,"34,398.54"
"625fe3ef0ceffb2caf00717e","20-Sep-2020","Cash",112.86,0,"295,455.67"
"625fe3ef0ceffb2caf007184","20-Sep-2020","Cash","3,920.23",0,"257,233.95"
"625fe3ef0ceffb2caf00718a","20-Sep-2020","Cash",0,"7,728.27","46,369.60"
"625fe3ef0ceffb2caf0071a6","22-Sep-2020","Cash",7.2,0,615.02
"625fe3ef0ceffb2caf0071bf","22-Sep-2020","Cash","35,064.80",0,"815,082.72"
"625fe3ef0ceffb2caf0071c6","22-Sep-2020","Cash",0,"372,677.78","372,677.78"
"625fe3f00ceffb2caf0071e8","24-Sep-2020","Cash",57.86,0,"3,027,302.59"
"625fe3f00ceffb2caf007201","25-Sep-2020","Cash",0,"258,355.78","1,291,778.91"
"625fe3f00ceffb2caf007202","25-Sep-2020","Cash",81.08,0,"1,291,859.99"
"625fe3f00ceffb2caf007229","27-Sep-2020","Cash",0,4.85,14.54
"625fe3f00ceffb2caf007234","27-Sep-2020","Cash",0,"2,390.32","21,512.87"
"625fe3f00ceffb2caf007238","27-Sep-2020","Cash","1,079.00",0,"16,410.69"
"625fe3f00ceffb2caf007239","27-Sep-2020","Cash",8,0,"16,418.69"
"625fe3f00ceffb2caf007251","28-Sep-2020","Cash",54,0,"1,580,026.69"
"625fe3f00ceffb2caf007266","29-Sep-2020","Cash",0,"372,988.83",0
"625fe3f00ceffb2caf007268","29-Sep-2020","Cash",0,"4,403.97","26,423.84"
"625fe3f00ceffb2caf0072a8","29-Sep-2020","Cash","3,732.80",0,"4,045.71"
"625fe3f00ceffb2caf0072c1","29-Sep-2020","Cash",0,"28,198.24","84,594.71"
"625fe3f00ceffb2caf0072db","29-Sep-2020","Cash",4.85,0,212.85
"625fe3f00ceffb2caf0072e3","29-Sep-2020","Cash","2,085.00",0,"2,029,220.00"
"625fe3f00ceffb2caf0072ec","29-Sep-2020","Cash",0,"142,077.86","710,389.28"
"625fe3f00ceffb2caf0072fd","29-Sep-2020","Cash",318,0,"3,025,278.78"
"625fe3f00ceffb2caf007300","29-Sep-2020","Cash",0,"302,527.88","2,722,750.90"
"625fe3f00ceffb2caf007302","29-Sep-2020","Cash","126,482.90",0,"2,304,683.62"
"625fe3f00ceffb2caf007321","01-Oct-2020","Cash",0,"7,271.15","21,813.45"
"625fe3f00ceffb2caf007333","02-Oct-2020","Cash",6,0,"1,292,340.60"
"625fe3f00ceffb2caf007337","02-Oct-2020","Cash","216,275.50",0,"1,101,087.09"
"625fe3f00ceffb2caf00733a","02-Oct-2020","Cash",6.23,0,"963,457.43"
"625fe3f00ceffb2caf007342","03-Oct-2020","Cash",0,"81,031.55","486,189.31"
"625fe3f00ceffb2caf007358","05-Oct-2020","Cash",51,0,"248,689.04"
"625fe3f00ceffb2caf00735e","06-Oct-2020","Cash","2,446.00",0,"204,570.64"
"625fe3f00ceffb2caf007365","06-Oct-2020","Cash","11,790.50",0,"4,133,735.28"
"625fe3f00ceffb2caf00736e","07-Oct-2020","Cash",0,"491,423.76","2,948,542.53"
"625fe3f00ceffb2caf007371","07-Oct-2020","Cash",0,"737,141.54","737,141.54"
"625fe3f00ceffb2caf007376","08-Oct-2020","Cash",0,"99,870.80","299,612.38"
"625fe3f00ceffb2caf00737b","08-Oct-2020","Cash",0,"32,610.90","195,665.40"
"625fe3f00ceffb2caf007396","08-Oct-2020","Cash","26,790.10",0,"28,161.04"
"625fe3f00ceffb2caf007399","09-Oct-2020","Cash",0,"8,213.64","8,213.64"
"625fe3f00ceffb2caf0073a3","10-Oct-2020","Cash",0,342.38,"1,369.51"
"625fe3f00ceffb2caf0073b2","10-Oct-2020","Cash","36,091.50",0,"1,050,761.08"
"625fe3f00ceffb2caf0073bc","10-Oct-2020","Cash",4,0,"2,615,261.80"
"625fe3f00ceffb2caf0073bf","10-Oct-2020","Cash",0,"145,294.02","1,162,352.17"
"625fe3f00ceffb2caf0073c0","10-Oct-2020","Cash",0,"129,150.24","1,033,201.93"
"625fe3f00ceffb2caf0073f2","12-Oct-2020","Cash",6,0,6
"625fe3f00ceffb2caf0073f4","12-Oct-2020","Cash","15,235.09",0,"15,713.51"
